Timestamp,survey_type,Q1,Q1_score,Q2,Q2_score,Q3,Q3_score,Q4,Q4_score,Q5,Q5_score,Q5_Tier1,Q5_Tier2,Q5_Tier3,Q5_Tier4,Q5_Tier5,Q5_Tier6
11/5/2021 8:53,pre,freshwater,0,Overfishing,1,dont know,0,what.,0,idk,0,NA,,,,,
11/5/2021 8:54,pre,high relief,1,Pollution,0,e,0,e,0,e,0,NA,,,,,
11/5/2021 8:54,pre,freshwater,0,Overfishing,1,No idea,0,No idea,0,Because we dont want them to go extinct. Fish taste good. Fish probably help our environment somehow.,1,both,extinction,"general human benefit, general environmental benefit",Food,NA,
11/5/2021 8:54,pre,pelagic,0,Pollution,0,computer,0,idk,0,"pollution, the population is going down, we need them to survive",0,both,population decline,general human benefit,NA,,
11/5/2021 8:54,pre,freshwater,0,Overfishing,1,cameras and electrical currents,1,"dorsal fin, and pectoral fins",2,because fish help the environment and they feed us ,1,benefit,,"general human benefit, general environmental benefit",Food,NA,
11/5/2021 8:55,pre,pelagic,0,Overfishing,1,i dont know ,0,i dont know ,0,i dont know ,0,NA,,,,,
11/5/2021 8:55,pre,freshwater,0,Pollution,0,idk,0,idk,0,rockfish may have a limited about of prey and fish with decease mamba passed on to other fish ,1,benefit,,general environmental benefit,,Foodweb,
11/5/2021 8:55,pre,pelagic,0,Pollution,0,i dont know,0,i dont know,0,i dont know,0,NA,,,,,
11/5/2021 8:55,pre,freshwater,0,Lack of food,0,drones or waterproof cameras,2,hard and they look like a rock?,0,first we should care about the fish because we need to save them from the pollution.,0,negative,pollution,,,,
11/5/2021 8:56,pre,freshwater,0,Pollution,0,sonar detector,0,They have rock in their scales and they have fins,0,"1.Because they taste good 2. people care about animals, like fish 3. they help keep the ecosystem god",2,benefit,,"general human benefit, general environmental benefit, inherent benefit","Food, Culture",NA,"People  care about animals, like fish"
11/5/2021 8:56,pre,high relief,1,Pollution,0,maybe they use a camera or recordings,1,dorsal fins and large sides,2,because a lot of the fish are going extinct due to climate change,0,negative,"extinction, climate change",,,,
11/5/2021 8:56,pre,freshwater,0,Pollution,0,they dont,0,rockyfish,0,because they give us protein when we eat them,1,benefit,,general human benefit ,Food,,
11/5/2021 8:57,pre,freshwater,0,Candy,0,nose,0,nose ,0,Porque son animales son vivos ,1,benefit,,general environmental benefit,,Foodweb,
11/5/2021 8:57,pre,high relief,1,Overfishing,1,idk ,0,idk ,0,1- pollution 2- a lot a killing 3- suffering ,0,negative,"pollution, suffering",,,,
11/5/2021 8:59,pre,freshwater,0,Overfishing,1,idk,0,idk,0,We should care for them because don't they help us? I'm not sure actually because I haven't good fish stuff in a little while ,0,benefit,,general human benefit,NA,,
11/5/2021 8:59,pre,pelagic,0,Pollution,0,I don't know,0,i don't know,0,"First reason that we should care about fish is that we could eat them, calcium from fish, ",1,benefit,,general human benefit,Food,,
11/5/2021 9:47,pre,freshwater,0,Candy,0,idk,0,idk,0,idk,0,NA,,,,,
11/5/2021 9:48,pre,high relief,1,Overfishing,1,underwater video,1,dorsal fin has large spines large side pectoral fins ,2,one there important to native community's they are important for the environment  ,2,benefit,,"general human benefit, general environmental benefit","Food, Indigenous people",NA,
11/5/2021 9:49,pre,low relief,0,Overfishing,1,They use the dam,0,Swimming rock,0,We should care because it will be ruin the salmon for the native American. Dams ruining the fish because it can't swim where it wants to go. ,2,both,dams,general human benefit,"Food, Indigenous people",,
11/5/2021 9:49,pre,freshwater,0,Overfishing,1,probably trackers/ tags,0,idk what it is,0,"it is what we eat, its apart of the food chain/ ecosystem, and we ned to track it so they dont go extinct",2,both,extinction,"general human benefit, general environmental benefit",Food,Foodweb,
11/5/2021 9:49,pre,freshwater,0,Pollution,0,I do not know,0,I do not know.,0," The fish population is a main food source for some humans and for aquatic animals. Without fish, some animals won't survive.",2,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/5/2021 9:49,pre,low relief,0,Overfishing,1,I dont know or care,0,Bumps and rocks,0,I dont know and i dont really care ,0,NA,,,,,
11/5/2021 9:49,pre,high relief,1,Pollution,0,i don't know,0,i don't know,0,"We need it for food, is part of nature and it helps clear the air?",1,benefit,,"general human benefit, general environmental benefit","Food, Clean air",Clean air,
11/5/2021 9:50,pre,pelagic,0,Candy,0,idk,0,rock,0,idk,0,NA,,,,,
11/5/2021 9:50,pre,freshwater,0,Pollution,0,not sure,0,i dont know,0," Because, Fish gives us protein and can give is some healthy things for our body like fiber.",1,benefit,,general human benefit,Food,,
11/5/2021 9:50,pre,freshwater,0,Pollution,0,I don't know,0,I don't know,0,We should care about the fish because it would be bad if fish go extinct. Also because fish are tasty. Also because fish help the environment I think.,1,both,extinction,"general human benefit, general environmental benefit",Food,NA,
11/5/2021 9:50,pre,freshwater,0,Pollution,0,"Diving equipment to see the fish, machines to examine the fish. ",0,"A rocky texture, and their color is brown and gray. ",0,For generations of the different types of fish. For other types of animals that eat and depend on fish. For people that rely on the population of fish for food and for money (selling them),2,benefit,,"general human benefit, general environmental benefit, inherent benefit","Food, Economy",Foodweb,For generations of different types of fish
11/5/2021 9:50,pre,high relief,1,Lack of food,0,swimming gear ,0,rock and a fish,0,"population, the taste, and medicine",2,benefit,,"general human benefit, inherent benefit","Food, Products",,The population
11/5/2021 9:50,pre,low relief,0,Overfishing,1,I don’t know ,0,I don’t know ,0,It’s a food source ,1,benefit,,general human benefit,Food,,
11/5/2021 9:51,pre,freshwater,0,Candy,0,i do not know,0,their dorsal fins have large spines and they have large fins,2,"because people eat the fish, they are living things, and they are not supposed to suffer",1,both,suffering,"general human benefit, inherent benefit",Food,,Because they are living things
11/5/2021 9:52,pre,freshwater,0,Overfishing,1,idk,0,idk,0,fish cool B),1,benefit,,"general human benefit, inherent benefit",Culture,,Fish cool
11/5/2021 9:53,pre,low relief,0,Pollution,0,they probably use like tools to help with the rockfish.,0,"The texture of the fish may be rocky, and the fish may be like a darkish color to it. ",0,"reason 1 is because the sea animals need the fish for their food cycle.
reason 2 is because the people needs the fish for the nutrients. 
and reason 3 is because the ocean needs the nutrients from the fish. ",2,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/5/2021 9:59,pre,low relief,0,Pollution,0,i dont now ,0,i dont now sorry i love fish ,0,  we should care about  fish because they are eating bae athr fish ,1,benefit,,general environmental benefit,,Foodweb,
11/5/2021 10:41,pre,freshwater,0,Pollution,0,not sure,0,idk,0,idk,0,NA,,,,,
11/5/2021 10:41,pre,freshwater,0,Pollution,0,How would i know,0,Dont know,0,I dont know,0,NA,,,,,
11/5/2021 10:43,pre,low relief,0,Overfishing,1,?,0,n,0,bbb,0,NA,,,,,
11/5/2021 10:43,pre,high relief,1,Overfishing,1,underwhater sound recorders,0,there teeth and their back scales,0,"they are native
they are a big part of a culture
they keep the cycle of nature on track",2,benefit,,"general human benefit, general environmental benefit, inherent benefit",Culture,Foodweb,They are native
11/5/2021 10:44,pre,low relief,0,Pollution,0,I do not know.,0,They have gills and the do not blink.,0,"We eat them, the environment needs them, and there cool.",2,benefit,,"general human benefit, general environmental benefit, inherent benefit","Food, Culture",NA,They are cool
11/5/2021 10:45,pre,high relief,1,Overfishing,1,buscan un lugar con muchas rocas,0,es grande y se camuflaje con las rocas por su físico,0,"porque aquí es puerto y es importante para el estado, también por que es parte de la fauna.",0,benefit,,"general human benefit, general environmental benefit",NA,NA,
11/5/2021 10:45,pre,freshwater,0,Pollution,0,trackers,0,I dont know,0,"We eat fish, they are good for the ocean, and they are prey for other animals ",2,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/5/2021 10:48,pre,low relief,0,Overfishing,1,rov,2,idk,0,bc people eat fish and they help the invierment and animals eat fish,2,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/19/2021 12:14,pre,freshwater,0,Pollution,0,?,0,?,0,?,0,NA,,,,,
11/19/2021 12:14,pre,high relief,1,Candy,0,idk,0,still dont know ,0,i don know ,0,NA,,,,,
11/19/2021 12:14,pre,pelagic,0,Overfishing,1,idk,0,idk,0,idk,0,NA,,,,,
11/19/2021 12:15,pre,freshwater,0,Pollution,0,NoX,0,noX,0,NOX,0,NA,,,,,
11/19/2021 12:15,pre,pelagic,0,Lack of food,0,hhh,0,hhh,0,hhhhh,0,NA,,,,,
11/19/2021 12:15,pre,freshwater,0,Overfishing,1,i'm not sure.,0,i have not learned about a rockfish before.,0,if the fish populations went all the way down that can be dangerous for us because fish and a food source.,1,benefit,,general human benefit,Food,,
11/19/2021 12:16,pre,freshwater,0,Pollution,0,eyes,0,i dont know that ,0,so more fish can live in ocean and eat them,1,benefit,,general human benefit,Food,,
11/19/2021 12:16,pre,freshwater,0,Pollution,0,idk,0,idk,0,one they provide food. two they help re create and three idk,1,benefit,,general human benefit,Food,,
11/19/2021 12:16,pre,pelagic,0,Overfishing,1,idk ,0,idk ,0,"we should care about fish because they are important to native cultures in the puget sound, they provide food and vitamins, theyre also part of the eco system.  ",2,benefit,,"general human benefit, general environmental benefit","Food, Indigenous people",NA,
11/19/2021 12:16,pre,low relief,0,Overfishing,1,Go in the water to look/count them,1,I dont know,0,"Because of food, if we can eat them and if they have been ever seen?",1,benefit,,general human benefit,Food,,
11/19/2021 12:16,pre,low relief,0,Pollution,0,computers ,0,1.i have no idea 2. rock ,0,1.idrk 2. we eat them 3. we can study them ,2,benefit,,general human benefit,"Food, Economy",,
11/19/2021 12:16,pre,high relief,1,Pollution,0,computers,0,"there orange, there big fishes",0,"because there's a lot of pollution, to count them and to know there species",0,both,pollution,inherent benefit,,,To know their species
11/19/2021 12:16,pre,freshwater,0,Pollution,0,I don't no,0,rock/bite,0,I don't now,0,NA,,,,,
11/19/2021 12:17,pre,freshwater,0,Overfishing,1,I think a technology that can go underwater,1,i don't know about rockfish,0,"One reason why we should take care of our fish is one it's a big part of our community, two its nutritious for our body and lastly it keeps the ocean alive ",2,benefit,,"general human benefit, general environmental benefit","Food, Culture",NA,
11/19/2021 12:17,pre,pelagic,0,Pollution,0,idk,0,"pufferfish,gold fish, salmon",0,"first, not to over fish second that would kill then inseike the fish last its good to get little then wait.",0,negative,overfishing,,,,
11/19/2021 12:17,pre,freshwater,0,Pollution,0,they tell as about the fish .,0,fish and organge fish ,0,because people eat them  .Or animals in the ocean eat .And they help diffrent ocean .,2,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/19/2021 12:17,pre,freshwater,0,Pollution,0,Me don’t know ,0,Nose ,0,Nose sorry,0,NA,,,,,
11/19/2021 12:17,pre,freshwater,0,Pollution,0,submarines,1,spine on back (big) look like rocks ,1,"because maybe there can be too much boats at once. maybe people like fish and want fish.?
maybe people will fight over thy fish ",2,both,overfishing,general human benefit,"Food, Recreation",,
11/19/2021 12:18,pre,freshwater,0,Overfishing,1,nose,0,nose,0,nose,0,NA,,,,,
11/19/2021 12:19,pre,pelagic,0,Overfishing,1,feed the rockfish and care for them,0,orange and black colors,0,we should care about fish because if fish are gone than a lot of animals will starve and die out as well. Another reason is that some people who have fish a part of thier culture wont be able to eat or celebrate. My last reason is that without fish nature could die because fish give a lot of nutrients to nature.,2,benefit,,"general human benefit, general environmental benefit","Food, Culture",Foodweb,
11/19/2021 12:20,pre,freshwater,0,Overfishing,1,idk,0,they look like rock and they are rughf ,0,idk,0,NA,,,,,
11/19/2021 12:22,pre,freshwater,0,Pollution,0, the Puget's sound is a thing that tells story about the Puget fish ,0,food,0, 1 to have clean water 2 make sure there is no thrash in the ocean where the fish lives 3 fish do live that long like salmon,1,both,pollution,"general human benefit, general environmental benefit",Clean water,Clean water,
11/19/2021 12:22,pre,low relief,0,Lack of food,0,they might use like computers,0,they might have rough texture & there color might be like brown or black,0,1. we should care about fish so they dont go extinct 2. we should also care more because people like to eat fish 3. if fish go extinct then thats a loss of a food resource,1,both,extinction,general human benefit,Food,,
11/19/2021 13:05,pre,freshwater,0,Pollution,0,idk,0,fish that looks like a fish,0,they are dying by pollution. the duwamsh river is dirty,0,negative,pollution,,,,
11/19/2021 13:06,pre,high relief,1,Pollution,0,laptop,0,i dont know,0,we can eat fish or have it as pets ,2,benefit,,general human benefit,"Food, Recreation",,
11/19/2021 13:06,pre,pelagic,0,Pollution,0,idk,0,idk,0,idk,0,NA,,,,,
11/19/2021 13:07,pre,high relief,1,Pollution,0,not sure,0,the body? and scales?,0,one reason is because we eat fish and animals too thats all i know ,1,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/19/2021 13:08,pre,low relief,0,Pollution,0,Idk,0,"They are orange, and maybe have big eye balls.",0,"1. Those fish are important to certain community's. 
2. Its a food to people and animals.
3. Its apart of peoples identity's",2,benefit,,"general human benefit, general environmental benefit","Food, Culture",Foodweb,
11/19/2021 13:08,pre,low relief,0,Lack of food,0,microscope,0,i dont know,0,i dont know,0,NA,,,,,
11/19/2021 13:08,pre,pelagic,0,Pollution,0,trackers,0,color and shape,0,"for food, animal habitat and other creatures nutrition",2,benefit,,"general human benefit, general environmental benefit",Food,Foodweb,
11/19/2021 13:09,pre,freshwater,0,Lack of food,0,idk ,0,its orange and its huge.,0,1 . reason we should care about fish is we need to find nemo and dory 2. is because they are yummy. 3 and last they are animals to the enviroment.,1,benefit,,"general human benefit, general environmental benefit",Food,NA,
11/19/2021 13:09,pre,low relief,0,Pollution,0,I don't know,0,Its a rock and its also a fish,0,1. It's really important to some cultures like Native culture 2. If the fish population ends than lots of companies will be shut down 3. There just important in general,2,benefit,,"general human benefit, inherent benefit","Food, Culture, Economy, Indigenous people",,Just important in general
11/19/2021 13:09,pre,high relief,1,Pollution,0,sonar?,0,"rock like texture, live near reefs",0,"some fish are almost extinct, it is hard for them to survive, pollution from waste",0,negative,"extinction, pollution",,,,
11/19/2021 13:10,pre,freshwater,0,Pollution,0,idk,0,fish and rock ,0,"Its important for the environment

A lot of fish die already 

idk",0,both,population decline,general environmental benefit,,NA,
11/19/2021 13:10,pre,freshwater,0,Lack of food,0,Cameras that makes rockfish more visible.,1,Goggles that makes it easier to look for the fish. Using long items to touch specific areas where Rock Fish could possibly be.,0,"Because whales/orca's eat those fish, then farts and the plankton in the ocean eats the farts , and makes oxygen. They are important to the coral reefs, and to other fish. They are very important for the environment. ",1,benefit,,general environmental benefit,,Foodweb,
11/19/2021 13:10,pre,pelagic,0,Pollution,0,go in to thee water to see if there is any fish,1,the fish is big  it has a big mouth ,0,we need to take care of them ,0,negative,obligation,,,,
11/19/2021 13:10,pre,low relief,0,Overfishing,1,i don't know,0,it's color and how big it is ,0,i don't know ,0,NA,,,,,
11/19/2021 13:10,pre,freshwater,0,Lack of food,0,i dont know,0,see the face and the color,0,we care the fish because is healthy and have proteins ,1,benefit,,general human benefit,"Food, Economy, Indigenous people",,
11/19/2021 13:11,pre,pelagic,0,Pollution,0,not sure,0,green eyes and its orange ,0,1. some of the fishes tend to eat plastic so when we eat fish we the people that eat fish may also be eating plastic as well. 2.  food to eat 3. jobs,2,both,pollution,general human benefit,"Food, Economy",,
11/19/2021 13:12,pre,low relief,0,Pollution,0,I don't know,0,that a rockfish is orange and it looks like a shark,0,one reason that we need fish so we can fish them or eat them but people throw trash in the ocean.,1,both,pollution,general human benefit,Food,,
11/19/2021 13:12,pre,freshwater,0,Pollution,0,LMao idk,0,Yea yea yessaa,0,"1 people throw trash on the group and somebody it gets into the sea and well theirs all type of animals and we need them to keep the life cycle of animals going, 2 Every year fish die from trash in the sea and they choke and die, 3 Their very yummy and alot of people use them for family or culture traditions",2,both,pollution,"general human benefit, general environmental benefit","Food, Culture",Foodweb,
11/19/2021 13:16,pre,freshwater,0,Candy,0,I don't know,0,i see skalse ,0,"because we still need to find nemo and dory and also ""fish rock!!!!!!"" ",1,benefit,,"general human benefit, inherent benefit",Culture,,Fish rock!!!!!
11/19/2021 13:58,pre,high relief,1,Pollution,0,idk,0,idk,0,idk,0,NA,,,,,
11/19/2021 13:59,pre,high relief,1,Pollution,0,idk,0,idk,0,So we can eat them good not dirty and so we dont starve and so we can cook them,1,both,pollution,general human benefit,Food,,
11/19/2021 13:59,pre,freshwater,0,Lack of food,0,idk,0,idk,0,idk,0,NA,,,,,
11/19/2021 13:59,pre,freshwater,0,Pollution,0,idk,0,idk,0,idk,0,NA,,,,,
11/19/2021 14:00,pre,freshwater,0,Pollution,0,x-rays ,0,idk,0,"to keep the food chain, we eat them, so they dont go extinct ",2,both,exctinction,"general human benefit, general environmental benefit",Food,Foodweb,
11/19/2021 14:00,pre,freshwater,0,Overfishing,1, I don't know,0,Don't know,0,I don't know,0,NA,,,,,
11/19/2021 14:01,pre,low relief,0,Pollution,0,Cameras ,1,Big and orange,0,Wild life food enviroment,1,benefit,,"general human benefit, general environmental benefit",Food,NA,
